Incident Number,Date/Time,Address,Incident Type,Completed,Reviewed,,,,,
0000001 - 000,1/1/21 2:11,1637 Post Rd,154 - Dumpster or other outside trash receptacle fire,Yes,Yes,,,,,
0000002 - 000,1/1/21 2:59,1201 Thorpe Ln  # 173,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000003 - 000,1/1/21 3:51,211 E Woods St,"311 - Medical assist, assist EMS crew",Yes,Yes,,,,,
0000005 - 000,1/1/21 4:59,202 NB,551 - Assist police or other governmental agency,Yes,Yes,,,,,
0000006 - 000,1/1/21 6:01,1203 Uhland Rd  # 13,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000007 - 000,1/1/21 8:48,801 W Bluebonnet Dr,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000008 - 000,1/1/21 9:05,209 W Access Rd,322 - Vehicle accident with injuries,Yes,Yes,,,,,
0000009 - 000,1/1/21 10:30,512 Craddock Ave,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000010 - 000,1/1/21 11:35,1207 S IH 35,"741 - Sprinkler activation, no fire - unintentional",Yes,Yes,,,,,
0000012 - 000,1/1/21 15:30,714 S C M Allen Pkwy,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000013 - 000,1/1/21 15:51,1239 N LBJ Dr  # B,"321 - EMS call, excluding vehicle accident with injury",Yes,Yes,,,,,
0000014 - 000,1/1/21 16:18,5024 S Old Bastrop Hwy,143 - Grass fire,Yes,Yes,,,,,
0000015 - 000,1/1/21 17:04,1900 Medical Pkwy  # 110,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000016 - 000,1/1/21 18:33,200 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000017 - 000,1/1/21 19:38,200 SB,324 - Motor vehicle accident with no injuries,Yes,Yes,,,,,
0000019 - 000,1/1/21 20:09,153 Lookout Ridge Lp,381 - Rescue or EMS standby,Yes,Yes,,,,,
0000020 - 000,1/2/21 1:48,1271 Sadler Dr,381 - Rescue or EMS standby,Yes,Yes,,,,,
